ID,WORD,POSWX,POSLY,LENGTH,LINE,PAGE,DURATION,AUDIOFILE
1,Most,19.55124,55.05203056,33.92174822,1,1,0.460091,1_1
2,of,58.68353378,55.05203056,13.77692467,1,1,0.28,1_2
3,the,77.68737394,55.05203056,20.16610444,1,1,0.410023,1_3
4,sand,103.0803939,55.05203056,30.2221463,1,1,0.556327,1_4
5,in,138.5419776,55.05203056,12.78163354,1,1,0.395147,1_5
6,the,156.6340132,55.05203056,20.10553575,1,1,0.392245,1_6
7,world,182.0335811,55.05203056,38.40383232,1,1,0.40839,1_7
8,deserts,225.7478155,55.05203056,45.71791258,1,1,0.379501,1_8
9,is,276.7219776,55.05203056,10.96457242,1,1,0.446621,1_9
10,in,292.9805822,55.05203056,12.78163354,1,1,0.429569,1_10
11,sand,311.0726178,55.05203056,30.1632146,1,1,0.580544,1_11
12,sheets,346.5462345,55.05203056,40.22744141,1,1,0.585397,1_12
13,and,392.0677081,55.05203056,23.75602791,1,1,0.475556,1_13
14,sand,421.1341381,55.05203056,30.1632146,1,1,0.394875,1_14
15,seas,456.6077547,55.05203056,31.50773514,1,1,0.556327,1_15
16,These,493.3931521,55.05203056,39.30417792,1,1,0.397188,1_16
17,are,537.9913622,55.05203056,20.08916583,1,1,0.377732,1_17
18,vast,563.3745602,55.05203056,26.53543793,1,1,0.514785,1_18
19,regions,595.1712904,55.05203056,48.48442906,1,1,0.333923,1_19
20,of,648.9333817,55.05203056,13.7310889,1,1,0.238549,1_20
21,dunes,667.9257629,55.05203056,38.43657216,1,1,0.513197,1_21
22,resembling,15.43524,92.80787056,73.14080256,2,1,0.293469,1_22
23,ocean,92.69962541,92.80787056,38.39564736,2,1,0.361451,1_23
24,waves,135.2188556,92.80787056,41.14579392,2,1,0.472517,1_24
25,frozen,180.4692,92.80787056,42.04450253,2,1,0.379501,1_25
26,in,226.6294344,92.80787056,12.78163354,2,1,0.621587,1_26
27,an,243.5592057,92.80787056,15.51541018,2,1,0.694966,1_27
28,instant,263.2227536,92.80787056,43.91722138,2,1,0.810204,1_28
29,of,311.2553728,92.80787056,13.71471898,2,1,0.745079,1_29
30,time,329.1018596,92.80787056,33.37826688,2,1,0.293469,1_30
31,Rain,15.43524,130.5637106,31.1224919,3,1,0.57415,1_31
32,does,50.51597856,130.5637106,30.20577638,3,1,0.427846,1_32
33,fall,84.6800016,130.5637106,21.98807654,3,1,0.238549,1_33
34,occasionally,110.6099549,130.5637106,82.35051954,3,1,0.376916,1_34
35,in,196.9187211,130.5637106,12.82746931,3,1,0.379501,1_35
36,deserts,213.704437,130.5637106,49.90206412,3,1,0.320454,1_36
37,and,267.5483779,130.5637106,23.79204173,3,1,0.383719,1_37
38,desert,295.2986663,130.5637106,39.36638361,3,1,0.460091,1_38
39,storms,338.6069266,130.5637106,43.94996121,3,1,0.487347,1_39
40,are,386.5151345,130.5637106,20.12517965,3,1,0.464444,1_40
41,often,410.5985608,130.5637106,33.85299456,3,1,0.345397,1_41
42,violent,448.409802,130.5637106,49.90206412,3,1,0.28,1_42
43,A,502.2537429,130.5637106,11.88128794,3,1,0.609161,1_43
44,record,518.1260173,130.5637106,42.06742041,3,1,0.333923,1_44
45,forty,564.1516844,130.5637106,32.01956351,3,1,0.544036,1_45
46,four,600.1294945,130.5637106,27.45562982,3,1,0.475556,1_46
47,millimeters,631.5270011,130.5637106,75.06917913,3,1,0.320454,1_47
48,of,15.43524,168.6013106,13.7310889,4,1,0.625215,1_48
49,rain,35.0414932,168.6013106,25.57963699,4,1,0.551882,1_49
50,once,66.52903436,168.6013106,31.07993011,4,1,0.355057,1_50
51,fell,103.4841288,168.6013106,21.94551475,4,1,0.238549,1_51
52,within,131.3048079,168.6013106,42.04450252,4,1,0.422676,1_52
53,three,179.2408446,168.6013106,32.89535424,4,1,0.565714,1_53
54,hours,218.0277331,168.6013106,36.59495616,4,1,0.345397,1_54
55,in,260.4978535,168.6013106,12.79800345,4,1,0.505896,1_55
56,the,279.2037612,168.6013106,20.1137207,4,1,0.392245,1_56
57,Sahara,305.2090161,168.6013106,48.90186201,4,1,0.452971,1_57
58,Large,359.9696725,168.6013106,38.39564736,4,1,0.607166,1_58
59,storms,404.2568541,168.6013106,43.89430349,4,1,0.510113,1_59
60,may,454.0263219,168.6013106,28.33142054,4,1,0.367891,1_60
61,deliver,488.2656466,168.6013106,45.69335769,4,1,0.446531,1_61
62,up,539.8341686,168.6013106,16.46486554,4,1,0.510113,1_62
63,to,562.2069383,168.6013106,12.79800345,4,1,0.407755,1_63
64,one,580.896476,168.6013106,23.78058278,4,1,0.359093,1_64
65,millimeter,610.568593,168.6013106,68.52448511,4,1,0.400907,1_65
66,per,684.9846124,168.6013106,21.03043622,4,1,0.458685,1_66
67,minute,15.43524,206.3571506,49.89715315,5,1,0.429569,1_67
68,Normally,71.36143466,206.3571506,63.12895948,5,1,0.394875,1_68
69,dry,140.5521755,206.3571506,21.98316557,5,1,0.660907,1_69
70,stream,168.5971224,206.3571506,43.88448153,5,1,0.377732,1_70
71,channels,218.5597552,206.3571506,57.64503628,5,1,0.487347,1_71
72,can,282.2502029,206.3571506,22.86714124,5,1,0.394875,1_72
73,quickly,311.1791255,206.3571506,49.28748669,5,1,0.510113,1_73
74,fill,366.5382156,206.3571506,19.21173811,5,1,0.7039,1_74
75,after,391.7888172,206.3571506,30.14520768,5,1,0.502902,1_75
76,heavy,427.9892583,206.3571506,39.29599296,5,1,0.557642,1_76
77,rains,473.3568546,206.3571506,36.11859148,5,1,0.293469,1_77
78,and,515.5143095,206.3571506,23.76421286,5,1,0.458685,1_78
79,flash,545.3501257,206.3571506,31.97863872,5,1,0.345397,1_79
80,floods,583.4003678,206.3571506,41.16052685,5,1,0.328707,1_80
81,make,630.6161281,206.3571506,35.64713779,5,1,0.400907,1_81
82,these,672.3184993,206.3571506,33.81206976,5,1,0.573832,1_82
83,channels,15.43524,244.1129906,57.62539239,6,1,0.408617,1_83
84,dangerous,77.17603027,244.1129906,71.83120896,6,1,0.377732,1_84
