ID,WORD,POSWX,POSLY,LENGTH,LINE,PAGE,DURATION,AUDIOFILE
1,Nearly,25.20682,82.79483536,60.70951036,1,1,0,1_1
2,one,90.43425997,82.79483536,32.21298331,1,1,0.487347,1_2
3,third,127.1848656,82.79483536,42.10948944,1,1,0.742585,1_3
4,of,173.8933587,82.79483536,18.57784637,1,1,0.320454,1_4
5,the,197.0480343,82.79483536,27.23479459,1,1,0.407755,1_5
6,Earths,228.779476,82.79483536,56.97474098,1,1,0.368707,1_6
7,land,290.3088716,82.79483536,38.3974681,1,1,0.648254,1_7
8,surface,333.283169,82.79483536,64.36831277,1,1,0.392245,1_8
9,is,402.2061364,82.79483536,14.87469485,1,1,0.572426,1_9
10,desert,421.6354859,82.79483536,58.84684733,1,1,0.50644,1_10
11,Deserts,485.0148133,82.79483536,66.87403805,1,1,0.565714,1_11
12,are,556.443506,82.79483536,27.21262003,1,1,0.345397,1_12
13,dry,588.1899058,82.79483536,29.72943259,1,1,0.565714,1_13
14,lands,622.468717,82.79483536,47.07659089,1,1,0.447528,1_14
15,with,674.1221371,82.79483536,39.6170689,1,1,0.364444,1_15
16,little,718.3382097,82.79483536,40.81232228,1,1,0.345397,1_16
17,rainfall,763.7233723,82.79483536,69.96295426,1,1,0.549433,1_17
18,They,838.2077194,82.79483536,45.8259457,1,1,0.610476,1_18
19,support,888.599407,82.79483536,66.92947445,1,1,0.427846,1_19
20,only,19.63132,134.0578754,39.63924345,2,1,0.510522,1_20
21,sparse,64.83416056,134.0578754,55.71136454,2,1,0.661995,1_21
22,plants,126.1647561,134.0578754,53.24998838,2,1,0.379501,1_22
23,and,185.0124382,134.0578754,32.20189603,2,1,0.602222,1_23
24,a,222.8111932,134.0578754,9.898723584,2,1,0.345397,1_24
25,limited,238.2846011,134.0578754,63.17088653,2,1,0.383719,1_25
26,population,307.0523466,134.0578754,95.43930624,2,1,0.358503,1_26
27,of,408.0885118,134.0578754,18.60002093,2,1,0.63805,1_27
28,people,432.2410426,134.0578754,59.48103975,2,1,0.565714,1_28
29,and,497.2967667,134.0578754,32.20189603,2,1,0.345397,1_29
30,animals,535.0955217,134.0578754,74.97662227,2,1,0.52576,1_30
31,These,19.63132,185.3209154,53.26329312,3,1,0.597324,1_31
32,regions,78.97931238,185.3209154,65.63226268,3,1,0.803537,1_32
33,are,150.6962743,185.3209154,27.23479459,3,1,0.377732,1_33
34,called,184.0157682,185.3209154,53.24998838,3,1,0.603719,1_34
35,deserts,243.3504558,185.3209154,61.92911116,3,1,0.450476,1_35
36,because,311.3642662,185.3209154,70.57718956,3,1,0.293469,1_36
37,they,388.026155,185.3209154,38.39746809,3,1,0.394875,1_37
38,are,432.5083224,185.3209154,27.23479459,3,1,0.528571,1_38
39,dry,465.8278162,185.3209154,35.31520425,3,1,0.290703,1_39
40,They,507.2055452,185.3209154,45.82594569,3,1,0.238549,1_40
41,may,559.1161902,185.3209154,38.41077283,3,1,0.564082,1_41
42,be,603.6116622,185.3209154,21.06139709,3,1,0.379501,1_42
43,hot,630.7577586,185.3209154,34.71649113,3,1,0.517052,1_43
44,they,671.5367744,185.3209154,38.39746809,3,1,0.624308,1_44
45,may,716.0189418,185.3209154,38.41077283,3,1,0.28,1_45
46,be,760.5144139,185.3209154,21.06139709,3,1,0.528571,1_46
47,cold,787.6605102,185.3209154,43.99432703,3,1,0.499365,1_47
48,They,837.7173619,185.3209154,45.82594569,3,1,0.293469,1_48
49,may,889.6280069,185.3209154,38.41077283,3,1,0.376054,1_49
50,be,934.123479,185.3209154,21.06139709,3,1,0.429524,1_50
51,regions,19.63132,236.9665154,65.64334997,4,1,0.400907,1_51
52,of,90.86044164,236.9665154,18.57784637,4,1,0.345397,1_52
53,sand,115.0018851,236.9665154,40.88101882,4,1,0.437823,1_53
54,or,161.4686756,236.9665154,18.57784637,4,1,0.797778,1_54
55,vast,185.6101191,236.9665154,35.9582665,4,1,0.293469,1_55
56,areas,227.1098081,236.9665154,45.82372824,4,1,0.565714,1_56
57,of,278.519308,236.9665154,18.57784637,4,1,0.333923,1_57
58,rocks,302.6607515,236.9665154,48.30727896,4,1,0.379501,1_58
59,and,356.5538021,236.9665154,32.19080875,4,1,0.400907,1_59
60,gravel,394.3303825,236.9665154,55.75571367,4,1,0.976281,1_60
61,covered,455.6092948,236.9665154,70.57718957,4,1,0.460091,1_61
62,with,531.7605889,236.9665154,39.67472275,4,1,1.040544,1_62
63,little,576.985381,236.9665154,40.85440934,4,1,0.345397,1_63
64,plants,623.4406063,236.9665154,58.83576004,4,1,0.430204,1_64
65,But,687.7956143,236.9665154,32.25733243,4,1,0.328707,1_65
66,deserts,725.5721947,236.9665154,61.89584932,4,1,0.5,1_66
67,are,793.0094666,236.9665154,27.22370731,4,1,0.624853,1_67
68,always,825.7745964,236.9665154,61.89806678,4,1,0.410794,1_68
69,dry,893.2140858,236.9665154,35.33737881,4,1,0.394875,1_69
70,Deserts,19.63132,288.2295554,66.92503953,5,1,0.624853,1_70
71,are,93.25972903,288.2295554,27.27249134,5,1,0.547483,1_71
72,natural,127.2355899,288.2295554,62.00228721,5,1,0.583628,1_72
73,laboratories,195.919072,288.2295554,110.8200526,5,1,0.690612,1_73
74,We,313.4890606,288.2295554,30.92907629,5,1,0.379501,1_74
75,can,351.1902475,288.2295554,30.91577155,5,1,0.645714,1_75
76,study,388.87279,288.2295554,48.3405408,5,1,0.450476,1_76
77,the,443.9854414,288.2295554,27.25696915,5,1,0.489297,1_77
78,interactions,477.9923467,288.2295554,104.0607752,5,1,0.542449,1_78
