ID,WORD,POSWX,POSLY,LENGTH,LINE,PAGE,DURATION,AUDIOFILE
1,In,19.55124,55.05203056,13.69834906,1,1,0,1_1
2,some,37.96248903,55.05203056,34.7467922,1,1,0.410522,1_2
3,regions,77.42218119,55.05203056,52.59982695,1,1,0.312562,1_3
4,deserts,134.7021683,55.05203056,45.72609754,1,1,0.609841,1_4
5,are,185.1411658,55.05203056,20.09735078,1,1,0.414376,1_5
6,separated,209.9514165,55.05203056,62.17459316,1,1,0.367891,1_6
7,sharply,276.8389097,55.05203056,48.45987418,1,1,0.55415,1_7
8,from,330.0116838,55.05203056,31.96390579,1,1,0.377732,1_8
9,surrounding,366.7048595,55.05203056,83.69612698,1,1,0.469025,1_9
10,less,455.0811466,55.05203056,24.69566131,1,1,0.383719,1_10
11,dry,484.4198064,55.05203056,21.94715174,1,1,0.754649,1_11
12,areas,511.0654968,55.05203056,33.8038848,1,1,0.377732,1_12
13,by,549.5740966,55.05203056,16.46486554,1,1,0.450476,1_13
14,mountains,570.7600471,55.05203056,68.6325266,1,1,0.54195,1_14
15,and,644.0972887,55.05203056,23.77239782,1,1,0.42771,1_15
16,other,672.5907714,55.05203056,33.85299456,1,1,0.50712,1_16
17,different,15.43524,92.80787056,56.67430003,2,1,0.52576,1_17
18,landforms,77.04919632,92.80787056,70.91449345,2,1,0.645624,1_18
19,In,152.8975837,92.80787056,13.69834906,2,1,0.377732,1_19
20,other,171.5625665,92.80787056,33.83662464,2,1,0.48127,1_20
21,areas,210.3494549,92.80787056,37.93565261,2,1,0.392245,1_21
22,there,253.147176,92.80787056,32.9035392,2,1,0.597143,1_22
23,are,291.000979,92.80787056,20.08916583,2,1,0.269161,1_23
24,no,316.0404087,92.80787056,16.44849562,2,1,0.489297,1_24
25,sharp,337.455538,92.80787056,35.65368576,2,1,0.333923,1_25
26,desert,378.0284976,92.80787056,39.31072588,2,1,0.400907,1_26
27,borders,422.2780848,92.80787056,53.50017254,2,1,0.410385,1_27
28,We,480.6875963,92.80787056,22.84913434,2,1,0.367891,1_28
29,can,508.4624396,92.80787056,22.83112742,2,1,0.360136,1_29
30,see,536.2356458,92.80787056,21.0140663,2,1,0.580544,1_30
31,a,562.175421,92.80787056,7.315717248,2,1,0.498095,1_31
32,slow,574.4168472,92.80787056,31.06356019,2,1,0.293469,1_32
33,change,610.4388561,92.80787056,46.61171021,2,1,0.572426,1_33
34,from,662.0854176,92.80787056,31.96390579,2,1,0.392245,1_34
35,a,699.0241421,92.80787056,7.299347328,2,1,0.392245,1_35
36,dry,15.43524,130.5637106,21.94715174,3,1,0.400227,1_36
37,to,41.48960467,130.5637106,12.79800345,3,1,0.379501,1_37
38,a,58.39482105,130.5637106,7.315717248,3,1,0.458685,1_38
39,more,69.8013813,130.5637106,33.83007667,3,1,0.592925,1_39
40,humid,107.722301,130.5637106,42.06250944,3,1,0.379501,1_40
41,environment,153.8920233,130.5637106,87.31387929,3,1,0.377732,1_41
42,making,245.2803757,130.5637106,49.36185677,3,1,0.633469,1_42
